model,fold,metric,value,dataset,task
SVM_RBF,5,accuracy,0.5714285714285714,MDVR-KCL,SpontaneousDialogue
SVM_RBF,5,precision,0.0,MDVR-KCL,SpontaneousDialogue
SVM_RBF,5,recall,0.0,MDVR-KCL,SpontaneousDialogue
SVM_RBF,5,f1,0.0,MDVR-KCL,SpontaneousDialogue
SVM_RBF,5,roc_auc,0.5,MDVR-KCL,SpontaneousDialogue
RandomForest,1,accuracy,0.8571428571428571,MDVR-KCL,SpontaneousDialogue
RandomForest,1,precision,0.75,MDVR-KCL,SpontaneousDialogue
RandomForest,1,recall,1.0,MDVR-KCL,SpontaneousDialogue
RandomForest,1,f1,0.8571428571428571,MDVR-KCL,SpontaneousDialogue
RandomForest,1,roc_auc,0.8333333333333334,MDVR-KCL,SpontaneousDialogue
RandomForest,2,accuracy,1.0,MDVR-KCL,SpontaneousDialogue
RandomForest,2,precision,1.0,MDVR-KCL,SpontaneousDialogue
RandomForest,2,recall,1.0,MDVR-KCL,SpontaneousDialogue
RandomForest,2,f1,1.0,MDVR-KCL,SpontaneousDialogue
RandomForest,2,roc_auc,1.0,MDVR-KCL,SpontaneousDialogue
RandomForest,3,accuracy,0.7142857142857143,MDVR-KCL,SpontaneousDialogue
RandomForest,3,precision,1.0,MDVR-KCL,SpontaneousDialogue
RandomForest,3,recall,0.3333333333333333,MDVR-KCL,SpontaneousDialogue
RandomForest,3,f1,0.5,MDVR-KCL,SpontaneousDialogue
RandomForest,3,roc_auc,1.0,MDVR-KCL,SpontaneousDialogue
RandomForest,4,accuracy,0.75,MDVR-KCL,SpontaneousDialogue
RandomForest,4,precision,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
RandomForest,4,recall,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
RandomForest,4,f1,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
RandomForest,4,roc_auc,0.8666666666666667,MDVR-KCL,SpontaneousDialogue
RandomForest,5,accuracy,0.5714285714285714,MDVR-KCL,SpontaneousDialogue
RandomForest,5,precision,0.0,MDVR-KCL,SpontaneousDialogue
RandomForest,5,recall,0.0,MDVR-KCL,SpontaneousDialogue
RandomForest,5,f1,0.0,MDVR-KCL,SpontaneousDialogue
RandomForest,5,roc_auc,0.5833333333333333,MDVR-KCL,SpontaneousDialogue
GradientBoosting,1,accuracy,0.2857142857142857,MDVR-KCL,SpontaneousDialogue
GradientBoosting,1,precision,0.25,MDVR-KCL,SpontaneousDialogue
GradientBoosting,1,recall,0.3333333333333333,MDVR-KCL,SpontaneousDialogue
GradientBoosting,1,f1,0.2857142857142857,MDVR-KCL,SpontaneousDialogue
GradientBoosting,1,roc_auc,0.4583333333333333,MDVR-KCL,SpontaneousDialogue
GradientBoosting,2,accuracy,0.7142857142857143,MDVR-KCL,SpontaneousDialogue
GradientBoosting,2,precision,0.6,MDVR-KCL,SpontaneousDialogue
GradientBoosting,2,recall,1.0,MDVR-KCL,SpontaneousDialogue
GradientBoosting,2,f1,0.75,MDVR-KCL,SpontaneousDialogue
GradientBoosting,2,roc_auc,0.75,MDVR-KCL,SpontaneousDialogue
GradientBoosting,3,accuracy,0.8571428571428571,MDVR-KCL,SpontaneousDialogue
GradientBoosting,3,precision,1.0,MDVR-KCL,SpontaneousDialogue
GradientBoosting,3,recall,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
GradientBoosting,3,f1,0.8,MDVR-KCL,SpontaneousDialogue
GradientBoosting,3,roc_auc,0.75,MDVR-KCL,SpontaneousDialogue
GradientBoosting,4,accuracy,0.75,MDVR-KCL,SpontaneousDialogue
GradientBoosting,4,precision,1.0,MDVR-KCL,SpontaneousDialogue
GradientBoosting,4,recall,0.3333333333333333,MDVR-KCL,SpontaneousDialogue
GradientBoosting,4,f1,0.5,MDVR-KCL,SpontaneousDialogue
GradientBoosting,4,roc_auc,0.7333333333333333,MDVR-KCL,SpontaneousDialogue
GradientBoosting,5,accuracy,0.5714285714285714,MDVR-KCL,SpontaneousDialogue
GradientBoosting,5,precision,0.5,MDVR-KCL,SpontaneousDialogue
GradientBoosting,5,recall,0.3333333333333333,MDVR-KCL,SpontaneousDialogue
GradientBoosting,5,f1,0.4,MDVR-KCL,SpontaneousDialogue
GradientBoosting,5,roc_auc,0.5,MDVR-KCL,SpontaneousDialogue
XGBoost,1,accuracy,0.7142857142857143,MDVR-KCL,SpontaneousDialogue
XGBoost,1,precision,0.6666666666666666,MDVR-KCL,SpontaneousDialogue
