model,method,rank,feature,mean,std
RandomForest,permutation,7.0,autocorr_harmonicity,0.011071428571428574,0.07232032627025914
RandomForest,permutation,8.0,delta_mfcc_0_mean,0.008571428571428574,0.019166296949998204
RandomForest,permutation,8.0,f0_mean,0.008571428571428574,0.019166296949998204
RandomForest,permutation,8.0,mfcc_3_mean,0.008571428571428574,0.019166296949998204
RandomForest,permutation,11.0,shimmer_local,0.003928571428571432,0.03389095659280674
RandomForest,permutation,12.0,f2_mean,0.002857142857142858,0.006388765649999402
RandomForest,permutation,12.0,mfcc_12_mean,0.002857142857142858,0.006388765649999402
RandomForest,permutation,14.0,shimmer_apq3,0.0025000000000000105,0.06637959023675878
RandomForest,permutation,15.0,delta_mfcc_11_mean,0.00035714285714285796,0.009482798605251254
RandomForest,permutation,16.0,delta_mfcc_10_mean,0.0,0.0
RandomForest,permutation,16.0,delta_mfcc_12_mean,0.0,0.0
RandomForest,permutation,16.0,delta_mfcc_1_mean,0.0,0.0
RandomForest,permutation,16.0,delta_mfcc_3_mean,0.0,0.0
RandomForest,permutation,16.0,delta_mfcc_5_mean,0.0,0.0
SVM_RBF,permutation,1.0,f0_std,0.04285714285714286,0.05890150893739515
SVM_RBF,permutation,2.0,shimmer_apq11,0.035357142857142865,0.06748488114884305
SVM_RBF,permutation,3.0,autocorr_harmonicity,0.03535714285714286,0.07187805006838077
SVM_RBF,permutation,3.0,f0_mean,0.03535714285714286,0.07187805006838077
SVM_RBF,permutation,5.0,mfcc_5_mean,0.022857142857142864,0.051110125199995214
SVM_RBF,permutation,6.0,intensity_max,0.022857142857142857,0.05111012519999519
SVM_RBF,permutation,7.0,f2_mean,0.02,0.027847983842311328
SVM_RBF,permutation,8.0,intensity_min,0.014285714285714294,0.05890150893739517
SVM_RBF,permutation,9.0,f3_mean,0.014285714285714287,0.024743582965269673
SVM_RBF,permutation,10.0,jitter_ppq5,0.011428571428571436,0.018626292586293294
SVM_RBF,permutation,11.0,mfcc_0_mean,0.011428571428571432,0.07242166774649471
SVM_RBF,permutation,12.0,f0_max,0.011428571428571429,0.025555062599997597
SVM_RBF,permutation,12.0,mfcc_8_mean,0.011428571428571429,0.025555062599997597
SVM_RBF,permutation,14.0,delta_mfcc_1_mean,0.008928571428571433,0.027490721997036876
SVM_RBF,permutation,15.0,hnr_mean,0.008571428571428574,0.019166296949998204
SVM_RBF,permutation,15.0,mfcc_2_mean,0.008571428571428574,0.019166296949998204
SVM_RBF,permutation,15.0,mfcc_4_mean,0.008571428571428574,0.019166296949998204
SVM_RBF,permutation,15.0,shimmer_apq3,0.008571428571428574,0.012777531299998804
SVM_RBF,permutation,19.0,intensity_mean,0.005714285714285719,0.04115674368825123
SVM_RBF,permutation,19.0,mfcc_1_mean,0.005714285714285719,0.012777531299998807
XGBoost,native,1.0,mfcc_5_mean,0.13406241536140442,0.058572241877467915
XGBoost,native,2.0,shimmer_apq11,0.10374711900949478,0.070923822820643
XGBoost,native,3.0,delta_mfcc_8_mean,0.07891035303473473,0.05193062009868246
XGBoost,native,4.0,delta_mfcc_2_mean,0.052813456207513806,0.009347945423613427
XGBoost,native,5.0,mfcc_4_mean,0.03479065783321857,0.022388008554245827
