model,method,rank,feature,mean,std
RandomForest,permutation,14.0,delta_mfcc_10_mean,0.022142857142857138,0.029494032602946526
RandomForest,permutation,15.0,f0_std,0.020000000000000004,0.031298431857438073
RandomForest,permutation,16.0,mfcc_1_mean,0.019999999999999997,0.03725258517258656
RandomForest,permutation,17.0,delta_mfcc_7_mean,0.019999999999999993,0.04472135954999578
RandomForest,permutation,18.0,delta_mfcc_6_mean,0.019285714285714288,0.03109399837096989
RandomForest,permutation,18.0,f1_std,0.019285714285714288,0.01883060903780582
RandomForest,permutation,18.0,mfcc_3_mean,0.019285714285714288,0.03109399837096989
SVM_RBF,permutation,1.0,shimmer_local,0.005,0.01118033988749895
SVM_RBF,permutation,2.0,delta_mfcc_6_mean,0.0,0.0
SVM_RBF,permutation,3.0,jitter_rap,-0.0025,0.005590169943749474
SVM_RBF,permutation,3.0,shimmer_apq3,-0.0025,0.005590169943749474
SVM_RBF,permutation,5.0,delta_mfcc_9_mean,-0.005,0.01118033988749895
SVM_RBF,permutation,6.0,mfcc_4_mean,-0.007857142857142858,0.00720951044220941
SVM_RBF,permutation,7.0,jitter_ppq5,-0.008214285714285714,0.007533936824903209
SVM_RBF,permutation,8.0,f1_mean,-0.01,0.0223606797749979
SVM_RBF,permutation,8.0,mfcc_9_mean,-0.01,0.0223606797749979
SVM_RBF,permutation,10.0,mfcc_11_mean,-0.010357142857142858,0.01638581392422066
SVM_RBF,permutation,11.0,mfcc_12_mean,-0.0125,0.02165063509461097
SVM_RBF,permutation,12.0,intensity_max,-0.013214285714285711,0.018367701243748268
SVM_RBF,permutation,13.0,delta_mfcc_3_mean,-0.013571428571428568,0.01962661666290583
SVM_RBF,permutation,13.0,delta_mfcc_8_mean,-0.013571428571428568,0.01962661666290583
SVM_RBF,permutation,15.0,jitter_local,-0.013928571428571426,0.017514571193198887
SVM_RBF,permutation,16.0,f3_std,-0.015357142857142856,0.027069920802338856
SVM_RBF,permutation,17.0,hnr_mean,-0.016071428571428566,0.022088065851523175
SVM_RBF,permutation,18.0,delta_mfcc_11_mean,-0.017499999999999998,0.03913118960624632
SVM_RBF,permutation,18.0,mfcc_5_mean,-0.017499999999999998,0.03913118960624632
SVM_RBF,permutation,20.0,f1_std,-0.017857142857142856,0.032537262782658206
XGBoost,native,1.0,f0_max,0.08291269391775132,0.027907236593917847
XGBoost,native,2.0,intensity_min,0.0641086108982563,0.06286918797769156
XGBoost,native,3.0,f0_mean,0.06325035840272904,0.044095744024732736
XGBoost,native,4.0,f3_std,0.06137706041336059,0.04414365477692863
XGBoost,native,5.0,intensity_mean,0.05077400095760822,0.04702041077582457
XGBoost,native,6.0,delta_mfcc_10_mean,0.04133554045110941,0.03668769797478057
XGBoost,native,7.0,f1_std,0.04087876603007316,0.0748426666560928
XGBoost,native,8.0,delta_mfcc_2_mean,0.03777013625949621,0.027968941605633613
XGBoost,native,9.0,mfcc_3_mean,0.032491647824645045,0.023180203034130105
XGBoost,native,10.0,mfcc_11_mean,0.030757914809510113,0.039990854177332016
XGBoost,native,11.0,delta_mfcc_12_mean,0.030470626428723335,0.038641995659736424
XGBoost,native,12.0,f1_mean,0.028633827716112135,0.018664829544406358
XGBoost,native,13.0,intensity_max,0.027688262145966293,0.03559880515311658
XGBoost,native,14.0,shimmer_local,0.027311531640589238,0.019633332707553672
XGBoost,native,15.0,f0_min,0.027251228271052242,0.05895481543300817
XGBoost,native,16.0,mfcc_2_mean,0.0262320464476943,0.03577153358957327
XGBoost,native,17.0,mfcc_6_mean,0.025267643481492998,0.0517240031427727
XGBoost,native,18.0,mfcc_5_mean,0.02433405853807926,0.026122475515683787
XGBoost,native,19.0,mfcc_1_mean,0.023363862186670303,0.019751962370825108
XGBoost,native,20.0,mfcc_4_mean,0.020392189733684063,0.03428253940815329
XGBoost,permutation,1.0,f0_max,0.05071428571428571,0.11715565043382
XGBoost,permutation,2.0,intensity_min,0.005714285714285716,0.012777531299998802
XGBoost,permutation,3.0,mfcc_6_mean,0.0025,0.005590169943749474
XGBoost,permutation,4.0,autocorr_harmonicity,0.0,0.0
XGBoost,permutation,4.0,delta_mfcc_0_mean,0.0,0.0
XGBoost,permutation,4.0,delta_mfcc_11_mean,0.0,0.0
XGBoost,permutation,4.0,delta_mfcc_12_mean,0.0,0.0
XGBoost,permutation,4.0,delta_mfcc_1_mean,0.0,0.0
XGBoost,permutation,4.0,delta_mfcc_3_mean,0.0,0.0
XGBoost,permutation,4.0,delta_mfcc_4_mean,0.0,0.0
